Month-Year,Rainfall Average,Average Temperature,Groundwater Levels
01-01-2011,11.62608624,24.73871,2.08
01-02-2011,87.63575935,25.58571,2.67
01-03-2011,0,27.46129,2.94
01-04-2011,54.2870996,29.48333,3.45
01-05-2011,10.95159805,31.79032,3.69
01-06-2011,73.99058539,31.96667,4.01
01-07-2011,137.4666191,30.20323,4.05
01-08-2011,202.763795,29.45806,4.31
01-09-2011,106.8651855,29.30333,3.23
01-10-2011,185.982442,28.09677,2.92
01-11-2011,413.2905822,26.13667,2.04
01-12-2011,147.4664359,25.22903,1.63
01-01-2012,6.139318168,24.84839,2.11
01-02-2012,0,25.96552,2.7
01-03-2012,2.277189732,28.9129,3.18
01-04-2012,42.24750006,30.62,3.8
01-05-2012,6.336331695,33.04194,4.31
01-06-2012,66.06496513,32.45333,4.82
01-07-2012,100.6849497,30.6,5.11
01-08-2012,107.7377865,29.60323,5.32
01-09-2012,132.283662,29.23333,4.54
01-10-2012,280.4636663,27.96129,4.23
01-11-2012,153.1891334,26.71333,2.57
01-12-2012,273.6299987,25.87419,2.81
01-01-2013,0,25.13548,3.26
01-02-2013,28.34120442,26.07857,3.65
01-03-2013,17.69457054,28.05484,4.05
01-04-2013,0.921063781,30.64,4.51
01-05-2013,2.64257288,31.81935,4.95
01-06-2013,95.21519758,31.00667,5.32
01-07-2013,144.2951234,29.25806,5.48
01-08-2013,144.9597347,29.06129,5.26
01-09-2013,224.9506418,28.98333,4.72
01-10-2013,196.3075755,28.3,4.24
01-11-2013,111.9398093,26.42667,3.82
01-12-2013,47.80766977,24.86452,4.13
01-01-2014,0,25.12258,4.07
01-02-2014,3.314341784,25.51429,4.37
01-03-2014,0,27.91935,4.68
01-04-2014,0,30.42333,4.99
01-05-2014,11.01875019,31.60968,5.26
01-06-2014,77.59063734,32.15667,5.52
01-07-2014,80.32955107,30.94839,5.37
01-08-2014,142.3159315,29.70968,5.14
01-09-2014,114.7787567,28.91667,4.81
01-10-2014,310.8011509,28.21613,4.26
01-11-2014,215.0034279,26.45,2.78
01-12-2014,142.543634,25.63226,2.59
01-01-2015,2.129869103,25.07742,3.02
01-02-2015,0,26.03929,3.21
01-03-2015,0,28.72258,3.73
01-04-2015,47.1215992,30.23667,4.47
01-05-2015,38.05223274,31.7129,4.37
01-06-2015,40.86931674,31.54,4.78
01-07-2015,203.7234182,31.32258,4.93
01-08-2015,139.865411,30.2,5.1
01-09-2015,97.20281324,30.33333,5.3
01-10-2015,183.6587805,28.69032,4.34
01-11-2015,1051.923256,26.65,2.05
01-12-2015,506.5534667,26.45484,0.88
01-01-2016,0.421057731,26.14516,2.9
01-02-2016,0,27.37931,4.08
01-03-2016,0,29.55484,3.76
01-04-2016,0,31.48,3.28
01-05-2016,216.8251621,31.94194,3.96
01-06-2016,133.1434733,30.64,3.13
01-07-2016,41.26322035,30.42258,2.82
01-08-2016,24.52138935,30.9,3.17
01-09-2016,264.6841415,29.55,3.62
01-10-2016,16.40993667,29.33226,2.69
01-11-2016,73.84779972,26.81667,2.22
01-12-2016,219.9156405,25.31613,1.59
01-01-2017,3.412927151,25.45161,2.75
01-02-2017,0,26.23571,3.39
01-03-2017,0,29.36129,4.18
01-04-2017,0,31.71667,4.48
01-05-2017,14.0918113,33.10645,4.87
01-06-2017,68.55056137,32.28,5.62
01-07-2017,110.6493139,31.25161,5.77
01-08-2017,322.0585629,29.75484,4.82
01-09-2017,121.9961927,29.72667,5.03
01-10-2017,330.9330168,28.9129,4.73
01-11-2017,538.1986938,27.08333,2.72
01-12-2017,61.70057118,26.54839,3.19
01-01-2018,0.541745901,25.41935,3.74
01-02-2018,0,26.69286,4.3
01-03-2018,2.730167389,29.00645,4.89
01-04-2018,0,31.45667,5.47
01-05-2018,0,32.58065,5.93
01-06-2018,27.99996015,32.53,6.3
01-07-2018,49.58505845,31.87742,5.89
01-08-2018,136.1709611,30.44839,5.64
01-09-2018,26.4891094,29.91,5.57
01-10-2018,171.8233545,28.64516,5.12
01-11-2018,167.7010117,27.57333,4.36
01-12-2018,23.98897797,26.4129,4.82
01-01-2019,0,25.28387,5.25
01-02-2019,1.052644253,27.91786,4.57
01-03-2019,0,29.93326,5.12
